Harga Produk,Total Produk,Total Item Terjual,Penjualan Per Hari,Pemasukan per Hari,Pengeluaran per Hari,Laba Kotor per Hari,Kategori_Produk_Laris
20000,93,539,93500.0,8317000,3052400,5264600,1
5000,83,539,327375.0,8317000,3052400,5264600,1
23000,82,539,93500.0,8317000,3052400,5264600,1
23000,55,539,93500.0,8317000,3052400,5264600,1
28000,50,539,93500.0,8317000,3052400,5264600,1
6000,43,539,258000.0,8317000,3052400,5264600,1
4000,30,539,120000.0,8317000,3052400,5264600,1
15000,29,539,327375.0,8317000,3052400,5264600,1
4000,29,539,116000.0,8317000,3052400,5264600,1
15000,16,539,240000.0,8317000,3052400,5264600,0
19000,10,539,190000.0,8317000,3052400,5264600,0
5000,5,539,25000.0,8317000,3052400,5264600,0
15000,5,539,75000.0,8317000,3052400,5264600,0
1000,4,539,4000.0,8317000,3052400,5264600,0
6000,3,539,18000.0,8317000,3052400,5264600,0
5000,1,539,5000.0,8317000,3052400,5264600,0
5000,1,539,5000.0,8317000,3052400,5264600,0
28000,85,502,93500.0,7649000,2867400,4781600,1
23000,65,502,93500.0,7649000,2867400,4781600,1
5000,65,502,325000.0,7649000,2867400,4781600,1
6000,58,502,327375.0,7649000,2867400,4781600,1
20000,58,502,93500.0,7649000,2867400,4781600,1
4000,40,502,160000.0,7649000,2867400,4781600,1
23000,33,502,93500.0,7649000,2867400,4781600,1
4000,23,502,92000.0,7649000,2867400,4781600,1
15000,18,502,270000.0,7649000,2867400,4781600,0
15000,14,502,210000.0,7649000,2867400,4781600,0
19000,11,502,209000.0,7649000,2867400,4781600,0
15000,9,502,135000.0,7649000,2867400,4781600,0
5000,9,502,45000.0,7649000,2867400,4781600,0
6000,7,502,42000.0,7649000,2867400,4781600,0
1000,4,502,4000.0,7649000,2867400,4781600,0
5000,2,502,10000.0,7649000,2867400,4781600,0
5000,1,502,5000.0,7649000,2867400,4781600,0
28000,69,508,93500.0,7472000,2897400,4574600,1
20000,62,508,93500.0,7472000,2897400,4574600,1
23000,63,508,93500.0,7472000,2897400,4574600,1
5000,61,508,305000.0,7472000,2897400,4574600,1
6000,49,508,294000.0,7472000,2897400,4574600,1
12000,43,508,327375.0,7472000,2897400,4574600,1
23000,35,508,93500.0,7472000,2897400,4574600,1
4000,30,508,120000.0,7472000,2897400,4574600,1
4000,29,508,116000.0,7472000,2897400,4574600,1
15000,19,508,285000.0,7472000,2897400,4574600,0
5000,13,508,65000.0,7472000,2897400,4574600,0
1000,10,508,10000.0,7472000,2897400,4574600,0
15000,9,508,135000.0,7472000,2897400,4574600,0
19000,6,508,114000.0,7472000,2897400,4574600,0
15000,4,508,60000.0,7472000,2897400,4574600,0
3000,3,508,9000.0,7472000,2897400,4574600,0
6000,2,508,12000.0,7472000,2897400,4574600,0
5000,1,508,5000.0,7472000,2897400,4574600,0
28000,86,522,93500.0,7728000,2967400,4760600,1
5000,63,522,315000.0,7728000,2967400,4760600,1
20000,62,522,93500.0,7728000,2967400,4760600,1
23000,54,522,93500.0,7728000,2967400,4760600,1
6000,54,522,324000.0,7728000,2967400,4760600,1
4000,38,522,152000.0,7728000,2967400,4760600,1
23000,39,522,93500.0,7728000,2967400,4760600,1
4000,18,522,72000.0,7728000,2967400,4760600,0
5000,16,522,80000.0,7728000,2967400,4760600,0
15000,13,522,195000.0,7728000,2967400,4760600,0
15000,12,522,180000.0,7728000,2967400,4760600,0
12000,11,522,132000.0,7728000,2967400,4760600,0
15000,12,522,180000.0,7728000,2967400,4760600,0
6000,8,522,48000.0,7728000,2967400,4760600,0
19000,7,522,133000.0,7728000,2967400,4760600,0
1000,7,522,7000.0,7728000,2967400,4760600,0
5000,5,522,25000.0,7728000,2967400,4760600,0
3000,5,522,15000.0,7728000,2967400,4760600,0
10000,4,522,40000.0,7728000,2967400,4760600,0
5000,3,522,15000.0,7728000,2967400,4760600,0
6000,3,522,18000.0,7728000,2967400,4760600,0
5000,2,522,10000.0,7728000,2967400,4760600,0
28000,88,527,93500.0,7833000,2992400,4840600,1
5000,56,527,280000.0,7833000,2992400,4840600,1
23000,46,527,93500.0,7833000,2992400,4840600,1
23000,43,527,93500.0,7833000,2992400,4840600,1
20000,43,527,93500.0,7833000,2992400,4840600,1
6000,38,527,228000.0,7833000,2992400,4840600,1
4000,30,527,120000.0,7833000,2992400,4840600,1
4000,29,527,116000.0,7833000,2992400,4840600,1
5000,24,527,120000.0,7833000,2992400,4840600,1
15000,23,527,327375.0,7833000,2992400,4840600,1
15000,23,527,327375.0,7833000,2992400,4840600,1
15000,32,527,327375.0,7833000,2992400,4840600,1
6000,12,527,72000.0,7833000,2992400,4840600,0
12000,9,527,108000.0,7833000,2992400,4840600,0
10000,8,527,80000.0,7833000,2992400,4840600,0
5000,5,527,25000.0,7833000,2992400,4840600,0
5000,4,527,20000.0,7833000,2992400,4840600,0
1000,4,527,4000.0,7833000,2992400,4840600,0
19000,5,527,95000.0,7833000,2992400,4840600,0
5000,2,527,10000.0,7833000,2992400,4840600,0
6000,1,527,6000.0,7833000,2992400,4840600,0
5000,1,527,5000.0,7833000,2992400,4840600,0
3000,1,527,3000.0,7833000,2992400,4840600,0
